 ,problem,size,size_cat,solver,budget,dist_type,name_type,rep,fx,norm_fx,pheno
42,OneMax,8,small,random_search,20,fine,lin,2,7.0,0.7484276729559748,"[1, 1, 1, 1, 1, 1, 0, 1]"
43,OneMax,8,small,random_search,20,fine,lin,3,7.0,0.7484276729559748,"[1, 1, 0, 1, 1, 1, 1, 1]"
44,OneMax,8,small,random_search,20,fine,lin,4,6.0,0.49685534591194963,"[0, 1, 0, 1, 1, 1, 1, 1]"
45,OneMax,8,small,random_search,20,fine,lin,5,6.0,0.49685534591194963,"[1, 1, 0, 1, 1, 1, 1, 0]"
46,OneMax,8,small,random_search,20,fine,lin,6,7.0,0.7484276729559748,"[1, 1, 0, 1, 1, 1, 1, 1]"
47,OneMax,8,small,random_search,20,fine,lin,7,8.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1]"
48,OneMax,8,small,random_search,20,fine,lin,8,7.0,0.7484276729559748,"[1, 1, 1, 1, 1, 0, 1, 1]"
49,OneMax,8,small,random_search,20,fine,lin,9,7.0,0.7484276729559748,"[1, 1, 1, 0, 1, 1, 1, 1]"
50,OneMax,8,small,random_search,20,fine,lin,10,6.0,0.49685534591194963,"[0, 1, 1, 1, 1, 1, 0, 1]"
51,OneMax,8,small,random_search,20,fine,lin,11,8.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1]"
52,OneMax,8,small,random_search,20,fine,lin,12,6.0,0.49685534591194963,"[1, 1, 1, 1, 1, 0, 0, 1]"
53,OneMax,8,small,random_search,20,fine,lin,13,6.0,0.49685534591194963,"[1, 1, 1, 0, 0, 1, 1, 1]"
54,OneMax,8,small,random_search,20,fine,lin,14,7.0,0.7484276729559748,"[1, 1, 1, 0, 1, 1, 1, 1]"
55,OneMax,8,small,random_search,20,fine,lin,15,7.0,0.7484276729559748,"[1, 0, 1, 1, 1, 1, 1, 1]"
56,OneMax,8,small,random_search,20,fine,lin,16,7.0,0.7484276729559748,"[1, 1, 1, 0, 1, 1, 1, 1]"
57,OneMax,8,small,random_search,20,fine,lin,17,6.0,0.49685534591194963,"[1, 1, 1, 1, 0, 1, 0, 1]"
58,OneMax,8,small,random_search,20,fine,lin,18,6.0,0.49685534591194963,"[1, 1, 1, 0, 1, 1, 0, 1]"
59,OneMax,8,small,random_search,20,fine,lin,19,6.0,0.49685534591194963,"[1, 0, 1, 0, 1, 1, 1, 1]"
60,OneMax,8,small,random_search,20,fine,str,0,6.0,0.49685534591194963,"[1, 1, 0, 1, 0, 1, 1, 1]"
61,OneMax,8,small,random_search,20,fine,str,1,6.0,0.49685534591194963,"[1, 1, 1, 1, 0, 1, 0, 1]"
62,OneMax,8,small,random_search,20,fine,str,2,8.0,1.0,"[1, 1, 1, 1, 1, 1, 1, 1]"
63,OneMax,8,small,random_search,20,fine,str,3,6.0,0.49685534591194963,"[1, 0, 1, 0, 1, 1, 1, 1]"
64,OneMax,8,small,random_search,20,fine,str,4,5.0,0.24528301886792447,"[1, 1, 0, 1, 0, 1, 1, 0]"
65,OneMax,8,small,random_search,20,fine,str,5,6.0,0.49685534591194963,"[0, 1, 0, 1, 1, 1, 1, 1]"
